title_id,person_id,profession_id
1429,679,7
1429,161,2
1429,147,1
1429,2441,4
1429,493,2
1429,9527,11
1429,1135,1
1429,360,1
1429,844,1
1429,6268,10
5164,776,7
6003,776,7
5443,776,7
5170,776,7
4229,776,7
6785,776,7
3563,776,7
4224,776,7
6163,776,7
2774,776,7
5282,776,7
4536,776,7
4811,776,7
4569,776,7
5592,776,7
3357,776,7
4046,776,7
2912,776,7
4227,776,7
5596,776,7
6439,776,7
5164,3055,1
5170,3055,1
4229,3055,1
6785,3055,1
3563,3055,1
4224,3055,1
6163,3055,1
4569,3055,1
5592,3055,1
3357,3055,1
2912,3055,1
4227,3055,1
5596,3055,1
5164,12361,1
5170,12361,1
4229,12361,1
6785,12361,1
3563,12361,1
4224,12361,1
6163,12361,1
4569,12361,1
5592,12361,1
3357,12361,1
2912,12361,1
4227,12361,1
5596,12361,1
5164,394,1
6003,394,1
5443,394,1
5170,394,1
4229,394,1
6785,394,1
3563,394,1
4224,394,1
6163,394,1
2774,394,1
5282,394,1
4536,394,1
4811,394,1
4569,394,1
5592,394,1
3357,394,1
4046,394,1
2912,394,1
4227,394,1
5596,394,1
6439,394,1
5062,394,1
5421,394,1
3480,394,1
6436,394,1
6045,394,1
6267,394,1
2924,394,1
4048,394,1
6003,8773,1
5443,8773,1
2774,8773,1
5282,8773,1
4536,8773,1
4811,8773,1
4569,8773,1
4046,8773,1
6439,8773,1
5062,8773,1
3480,8773,1
6045,8773,1
6267,8773,1
2924,8773,1
4048,8773,1
6003,10255,1
4536,10255,1
5062,10255,1
6267,10255,1
2924,10255,1
4048,10255,1
6003,11080,1
5443,11080,1
4224,11080,1
2774,11080,1
5282,11080,1
4536,11080,1
4811,11080,1
4569,11080,1
4046,11080,1
6439,11080,1
5062,11080,1
5421,11080,1
3480,11080,1
6436,11080,1
6045,11080,1
6267,11080,1
2924,11080,1
4048,11080,1
6003,2718,1
5443,2718,1
4224,2718,1
2774,2718,1
5282,2718,1
4536,2718,1
4811,2718,1
4569,2718,1
3357,2718,1
4046,2718,1
6439,2718,1
5062,2718,1
5421,2718,1
3480,2718,1
6436,2718,1
6045,2718,1
6267,2718,1
2924,2718,1
4048,2718,1
6003,11903,1
5443,11903,1
4224,11903,1
2774,11903,1
5282,11903,1
4536,11903,1
4811,11903,1
4569,11903,1
3357,11903,1
4046,11903,1
6439,11903,1
5062,11903,1
3480,11903,1
6045,11903,1
6267,11903,1
2924,11903,1
4048,11903,1
6003,12410,27
5443,12410,27
2774,12410,27
5282,12410,27
4536,12410,27
4811,12410,27
4046,12410,27
6439,12410,27
6003,11951,2
5443,11951,2
2774,11951,2
5282,11951,2
4536,11951,2
4811,11951,2
4569,11951,2
4046,11951,2
6439,11951,2
5062,11951,2
3480,11951,2
6045,11951,2
6267,11951,2
2924,11951,2
4048,11951,2
6003,4411,2
4536,4411,2
5421,4411,2
6436,4411,2
2591,1968,7
2591,143,1
2591,6138,4
2591,5853,1
2591,149,1
2591,7728,12
2591,13055,11
2591,5287,1
2591,6285,10
2203,2281,7
2218,5133,7
2686,5560,7
2686,1620,1
2686,10510,11
2686,326,1
2686,877,1
2686,7671,1
2595,6844,7
2595,5982,4
2595,6478,11
8000,7790,7
8000,7790,1
8047,7790,7
8047,7790,1
7796,7790,7
7796,7790,1
8012,7790,7
8012,7790,1
7952,7790,7
7952,7790,5
7952,7790,1
8010,7790,7
8010,7790,1
7806,7790,7
7806,7790,1
8000,6732,12
8047,6732,12
7796,6732,12
8012,6732,12
8010,6732,12
7806,6732,12
8000,10271,1
8047,10271,1
7796,10271,1
8012,10271,1
7952,10271,1
8010,10271,1
7806,10271,1
8000,10470,27
8047,10470,27
7796,10470,27
8012,10470,27
8010,10470,27
7806,10470,27
8000,8934,2
8047,8934,2
7796,8934,2
8012,8934,2
7952,8934,2
8010,8934,2
7806,8934,2
8000,3139,2
8047,3139,2
7796,3139,2
8012,3139,2
7952,3139,2
8010,3139,2
7806,3139,2
8000,11012,11
8047,11012,11
7796,11012,11
8012,11012,11
8010,11012,11
7806,11012,11
8000,10428,10
8047,10428,10
7796,10428,10
8012,10428,10
8010,10428,10
7806,10428,10
8000,7888,1
8047,7888,1
7796,7888,1
8012,7888,1
7952,7888,1
8010,7888,1
7806,7888,1
2531,8171,7
2531,11189,4
2399,8965,7
2167,9000,7
2167,7765,12
2167,8263,10
721,9094,7
1191,9094,7
363,9094,7
653,9094,7
906,9094,7
1251,9094,7
335,9094,7
1005,9094,7
963,9094,7
1626,9094,7
964,9094,7
494,9094,7
879,9094,7
336,9094,7
1205,9094,7
1540,9094,7
1014,9094,7
1210,9094,7
1342,9094,7
1754,9094,7
835,9094,7
720,9094,7
1786,9094,7
820,9094,7
1400,9094,7
914,9094,7
1252,9094,7
1126,9094,7
1100,9094,7
411,9094,7
1289,9094,7
990,9094,7
1619,9094,7
894,9094,7
1599,9094,7
1337,9094,7
722,9094,7
654,9094,7
518,9094,7
721,5914,10
1191,5914,10
363,5914,10
653,5914,10
906,5914,10
1251,5914,10
335,5914,10
1005,5914,10
963,5914,10
1626,5914,10
964,5914,10
494,5914,10
879,5914,10
336,5914,10
1205,5914,10
1540,5914,10
1014,5914,10
1210,5914,10
1342,5914,10
1754,5914,10
835,5914,10
720,5914,10
1786,5914,10
820,5914,10
1400,5914,10
914,5914,10
1252,5914,10
1126,5914,10
1100,5914,10
411,5914,10
1289,5914,10
1619,5914,10
894,5914,10
1599,5914,10
1337,5914,10
722,5914,10
654,5914,10
518,5914,10
2801,10013,7
4661,10013,7
3068,10013,7
6740,10013,7
4418,10013,7
4154,10013,7
4388,10013,7
6316,10013,7
4629,10013,7
3329,10013,7
5582,10013,7
3704,10013,7
6743,10013,7
3768,10013,7
4396,10013,7
3056,10013,7
3517,10013,7
7827,10013,7
6733,10013,7
2885,10013,7
4703,10013,7
2801,14882,2
4661,14882,2
3068,14882,2
6740,14882,2
4418,14882,2
4154,14882,2
4388,14882,2
6316,14882,2
4629,14882,2
3329,14882,2
5582,14882,2
3704,14882,2
6743,14882,2
3768,14882,2
4396,14882,2
3056,14882,2
3517,14882,2
7827,14882,2
6733,14882,2
2885,14882,2
4703,14882,2
2801,12562,12
4661,12562,12
3068,12562,12
6740,12562,12
4418,12562,12
4154,12562,12
4388,12562,12
6316,12562,12
3329,12562,12
5582,12562,12
3704,12562,12
6743,12562,12
3768,12562,12
4396,12562,12
3056,12562,12
3517,12562,12
7827,12562,12
6733,12562,12
2885,12562,12
4703,12562,12
2801,15418,2
4661,15418,2
4154,15418,2
2801,10317,10
4661,10317,10
3068,10317,10
6740,10317,10
4418,10317,10
4154,10317,10
4388,10317,10
6316,10317,10
3329,10317,10
5582,10317,10
3704,10317,10
6743,10317,10
3768,10317,10
4396,10317,10
3056,10317,10
3517,10317,10
7827,10317,10
6733,10317,10
2885,10317,10
4703,10317,10
2801,8901,1
4661,8901,1
3068,8901,1
6740,8901,1
4418,8901,1
4154,8901,1
4388,8901,1
6316,8901,1
4629,8901,1
5582,8901,1
3704,8901,1
6743,8901,1
3768,8901,1
4396,8901,1
3056,8901,1
3517,8901,1
7827,8901,1
6733,8901,1
2885,8901,1
4703,8901,1
2801,9771,1
4661,9771,1
4154,9771,1
4388,9771,1
3329,9771,1
5582,9771,1
3704,9771,1
6743,9771,1
3056,9771,1
3517,9771,1
7827,9771,1
2885,9771,1
4703,9771,1
2801,4285,1
3068,4285,1
6740,4285,1
4418,4285,1
4388,4285,1
6316,4285,1
4629,4285,1
3704,4285,1
6743,4285,1
3768,4285,1
4396,4285,1
3056,4285,1
7827,4285,1
6733,4285,1
4703,4285,1
2801,1455,4
4661,1455,4
5651,1455,7
5651,1455,5
3068,1455,4
6740,1455,4
4418,1455,4
4154,1455,4
4388,1455,4
6316,1455,4
3329,1455,4
5582,1455,4
3704,1455,4
6743,1455,4
3768,1455,4
4396,1455,4
3056,1455,4
3517,1455,4
7827,1455,4
6733,1455,4
2885,1455,4
4703,1455,4
2801,8346,1
4154,8346,1
3704,8346,1
6743,8346,1
3056,8346,1
4703,8346,1
4661,1367,1
5582,1367,1
6733,1367,1
4661,2440,1
3068,2440,1
4388,2440,1
5582,2440,1
6743,2440,1
3768,2440,1
7827,2440,1
6733,2440,1
2885,2440,1
2268,10253,7
2268,9192,10
2268,10106,12
2268,1335,11
2265,10726,7
2351,11019,7
2151,11159,7
2151,11159,1
2151,11501,1
2151,11500,4
2151,12367,1
2151,7849,1
2422,11722,7
2422,10787,10
2422,10815,10
2422,7956,4
2422,6134,4
2667,11831,7
2667,14573,11
2667,10423,1
2667,1249,1
2667,10522,11
2667,2229,1
2667,1500,1
292,12045,7
292,12045,1
292,12502,1
2360,12715,7
2360,11692,10
2196,13143,7
2196,6730,11
2234,13612,7
6823,13797,7
6823,1027,1
6823,14885,27
6823,398,12
65,398,12
6823,5169,1
6823,9519,4
6823,14884,27
6823,12376,2
6823,7395,4
6823,7402,1
5682,13848,7
5682,2595,27
5682,11658,2
5682,2152,2
5682,1546,1
5682,6903,1
5682,2218,2
7158,14214,7
7158,6906,1
7158,6940,12
7158,1052,1
7158,8294,2
7158,13093,2
7158,2447,11
7158,2713,12
7158,14215,2
5890,14361,7
5890,10848,11
2264,14963,7
2264,3513,4
2264,1744,10
2264,5478,4
2264,1822,11
2391,15236,7
1842,2450,7
1842,12151,1
1842,2451,1
1842,8108,4
1842,2449,1
1842,9496,2
1842,2452,1
1842,15023,1
1842,12904,10
183,10023,1
175,10023,1
183,14389,2
183,13823,2
183,12687,2
184,12687,2
177,12687,2
176,12687,2
185,15099,2
185,7935,1
185,11035,1
185,10382,2
185,14020,2
185,12320,1
185,4193,1
185,13400,2
170,13400,2
4070,2966,7
3577,2966,7
6695,2966,7
5061,2966,7
3445,2966,7
5401,2966,7
4465,2966,7
4465,2966,5
3417,2966,7
4280,2966,7
4070,6737,1
5061,6737,1
5401,6737,1
4465,6737,1
3417,6737,1
4070,3387,4
3577,3387,4
6695,3387,4
